"","libgeo","taux_pvt.total","taux_chom_bit.total","taux_emp.total","ecart_tx_emp_f_h.total","sal_hor_net_femme.ens","sal_hor_net_homme.ens","part_tps_partiel","part_chomeurs_ld","niveau_vie_median","part_foy_fisc_impos","revenu_decl_median","esper_vie.femme","esper_vie.homme","part_20_24_sortis_nondip","taux_mort_infant","part_pop75","pop.f_15_24","taux_lgmt_suroccupes","log_hlm_tot","part_pls","part_log.vac","qualair_NO2.moyanmax_dep","med_dist_km.act","part_critair_1_0_vp","couv4g","apl_medgen_moins65","part_apa_plus75","nb_crea_etablissements","part_emp_ess","deces_femme_cancer"
"39","Isère","11.8","6.5","68.43","-5.8","14.7123535152865","17.6914972968674","19.32","37.42","24270","57","24200","86","80.8","14.88","3.4","8.86","77080","2.9","91920","16.26","7.7","53","9.8","27.42","92.1","3.57818866303743","20.17","20551","9.96","1278"
"40","Jura","11.8","5.3","69.36","-4.64","12.7073145583162","15.1164315525258","18.63","34.77","23140","51.9","22990","84.8","79.3","13.88","4.9","11.74","12034","1.45","14160","11.68","9.63","41","8.9","24.11","97.8","3.35407771027342","24.21","2856","12.48","321"
"41","Landes","11.7","7.6","67.19","-4.76000000000001","12.7370280556035","14.8187756020053","16.03","37.37","22840","50.9","22700","85.4","79.7","13.66","3.4","11.95","17728","1.43","14017","7.09","6.41","49","9.8","23.58","98.9","3.93264387527751","25.84","6918","11.22","583"
"42","Loir-et-Cher","13.2","6.3","67.65","-4.62","13.1085026739749","15.1791864805098","14.69","39.69","22510","51.2","22260","85.5","79.2","16.61","2.5","12.48","14891","1.92","21496","14.2","10.84","59","9.9","20.78","100","2.49696043916137","24.34","3473","10.67","469"
"43","Loire","15.8","7.6","65.02","-6.2","13.0481606796797","15.5029716644552","20.74","41.82","21970","47.3","21400","85.4","79.8","15.51","3.2","11.16","43953","2.67","59993","17.24","10.2","41","8.2","24.27","98.6","3.4087969621857","19.38","10646","13.17","1008"
"44","Haute-Loire","12.3","6.1","69.14","-4.38","12.4183377130566","14.2558654270557","23.31","41.89","22100","45.5","21500","85.3","79.2","12.35","1.5","11.78","10434","1.2","8267","7.93","12.38","54","9.4","21.62","95.9","3.2498651283973","17.33","2401","18.22","308"
"45","Loire-Atlantique","10.5","6.5","69.37","-4.52","14.1141656345266","17.0379269866414","18.33","36.2","24120","56.1","24090","85.5","79.7","12.47","2.8","8.57","88401","2.2","92148","13.92","5.56","49","10.2","26.46","100","3.85169686557103","26.05","22328","12.61","1582"
"46","Loiret","13.9","7.2","66.92","-5.08","13.8792503765927","16.0868257564087","13.71","39.64","23090","55.3","22910","85.6","79.3","17.62","3.2","9.63","37651","3.23","51374","16.84","8.88","53","8.3","23.97","100","2.37415365533471","17.81","8471","10.32","725"
"47","Lot","15.3","7.8","66.78","-2.75","12.6697588007876","14.3950244444882","20.69","42.13","21910","46.8","21540","85.6","80.5","15.36","4.5","14.77","6534","1.69","5262","6.12","10.55","41","7.3","20.09","99.2","3.08777043338962","30.01","2451","15.91","281"
"48","Lot-et-Garonne","17.7","7.9","65.4","-5.61000000000001","12.5230642014951","14.1441216888326","17.37","40.69","21050","43.7","20450","85.4","79.4","16","3.2","13.4","15493","1.89","11297","7.27","11.62","49","7","20.84","99.8","2.79815927876883","15.84","4599","13.83","467"
"49","Lozère","15.5","4.9","68.42","-2.30000000000001","12.1321165487126","13.1536237383736","19.14","38.02","21580","45.8","21050","83.9","77.5","14.15","3","12.35","3562","1.64","2891","8.02","9.75","59","5.1","16.93","93.1","2.66589385870413","18.61","890","26.5","110"
"50","Maine-et-Loire","11.5","7","68.52","-5.55999999999999","12.8581064105822","15.2071173953455","18.85","38.33","22500","48.7","22090","86.3","80.7","14.09","3.9","9.86","53177","1.53","66385","18.06","6.42","41","9.7","21.39","99.9","3.83350877463296","15.17","9640","15.41","879"
"51","Manche","11.7","5.6","68.93","-4.19","12.7659707840278","15.1792468911627","17","39.92","22480","49.1","22190","84.7","78","12.22","3","12.27","22407","1.02","37866","16.24","7.98","54","8.5","20.22","99.9","2.90891419780359","18.11","4464","13.38","709"
"52","Marne","15","7.4","65.03","-5.88","13.6945616665237","16.0158066697375","17.33","42.26","22830","53.1","22700","84.6","78.7","16.73","4.3","9.09","36648","2.05","73671","27.97","9.1","49","4.7","25.9","99","3.85251009761354","19.79","8057","12.18","588"
"53","Haute-Marne","15.3","6.5","64.93","-7.3","12.2093330036866","13.9762610614638","16","45.88","21350","46","20870","84","77","16.63","4.2","12","7892","1.37","15865","19.54","11.72","53","7.4","20.11","97.7","2.78712846573028","19.39","1578","11.35","244"
"54","Mayenne","11.5","5.2","70.74","-4.41","12.5665163472884","14.4920891650083","15.53","35.13","22230","47.3","21730","85.9","80.1","12.36","2.9","11.11","15948","1.18","15933","11.68","9.26","41","8.5","19.3","100","2.67674717713176","21.43","3105","12.6","354"
"55","Meurthe-et-Moselle","15.3","7.5","63.41","-4.61000000000001","13.4710686070566","15.6909534132225","18.13","44.88","23010","49.4","22840","84.4","78.3","16.56","3.4","9.22","50157","2.32","53629","15.74","9.23","49","8.5","25.94","99.4","3.8594279800092","17.56","8402","12.72","842"
"56","Meuse","14.8","7.5","65.48","-6.27","12.3873434110197","14.4951960247916","18.57","47.01","21890","47","21530","83.5","77.7","15.92","1.9","10.84","8464","1.16","10122","12.14","11.98","59","9.4","19.51","97.8","3.12322985564384","19.73","1481","13.23","248"
"57","Morbihan","11.1","6.5","66.31","-3.80999999999999","12.9561526166183","15.3149305576616","17.44","38.13","23140","51.5","22960","84.8","78.6","12.72","2.2","11.64","35640","1.48","37928","10.46","6.88","41","10","24.12","99.9","3.82287296780523","23.11","9121","12.9","1126"
"58","Moselle","15.9","7.8","65.17","-6.59","12.9085165542935","15.668195111895","19.05","44.2","22980","46.2","22850","83.6","78.3","15.59","3.7","9.2","54915","2.29","78499","16.66","9.08","54","9.4","24.77","98.6","3.40712567217766","25.02","11524","12.07","1314"
"59","Nièvre","16.1","6.5","62.67","-4.26000000000001","12.3889072705523","14.2163776059546","16.95","45.64","21380","46.5","20960","84.3","77.2","17.81","4.3","14.61","8594","1.55","13348","13.27","13.83","49","7.4","20.66","97.1","2.46036335424403","16.66","1993","14.56","318"
"60","Nord","19.5","9.8","60.49","-6.94","13.8978227862303","16.2598294972619","17.96","47.96","21340","47.7","20790","83.5","77.1","19.64","3.5","7.71","177654","2.91","275273","24.21","7.39","53","8","27.14","100","4.19721960245988","24","35397","11.65","2881"
"61","Oise","13.4","7.9","65.82","-6.83","14.4627322354573","17.1116400542224","14.75","43.86","23330","56","23160","84.1","78.5","18.51","3.9","7.57","46027","4.2","67912","19.63","7.05","41","17","27.99","99.9","2.69379228819485","31.33","9665","10.5","815"
"62","Orne","15.6","7.2","65.16","-3.45","12.3854832779537","13.9653544351448","16.49","46.32","21400","45.2","20910","84.5","77.7","16.29","3.5","13.01","13282","1.55","21168","16.33","10.85","49","7.9","18.69","99.7","2.34890517802085","16.59","2635","16.19","412"
"63","Pas-de-Calais","18.4","9","60.83","-8.92","12.5766856280788","14.7225989157645","19.27","46.86","20720","44.1","20030","83.3","76.4","19.53","3.5","8.38","83472","2.02","161622","25.77","7.34","59","10","24.44","100","3.95924386391232","19.71","13876","12.52","1776"
"64","Puy-de-Dôme","13.9","6.8","66.24","-4.84","13.8022178549334","16.1296481077937","17.26","41.9","23060","52.3","22830","85.1","79","14.32","2.9","10.28","41059","1.76","43602","13.81","10.49","41","8.3","24.56","97.8","3.57601070625949","28.18","8946","11","825"
"65","Pyrénées-Atlantiques","12.6","6.4","67.62","-4.54000000000001","13.576600260513","16.5202170609238","17.72","38.88","23300","52.1","23210","86.4","81","11.87","3.4","12.12","33933","1.99","37485","11.25","7.61","54","6.8","26.37","86.8","4.21345213133952","19.91","11724","13.36","850"
"66","Hautes-Pyrénées","16","8.8","63.85","-3.16","12.2995526856719","14.3347372152757","17.86","43.14","21530","46","21120","85","79.4","15.54","2.5","13.55","10720","1.74","12617","11.29","9.26","49","6.9","22.08","80.1","3.23737700320735","20.71","3182","14.46","351"
"67","Pyrénées-Orientales","21.2","12.3","57.95","-5.15","12.7040974008693","14.2325893446036","19.42","46.08","20650","43.8","19950","84.7","77.6","22.13","3.5","12.81","23720","3.61","25428","10.92","7.98","53","6.9","24.71","91.5","3.71829055757593","18.3","8437","12.87","648"
"68","Bas-Rhin","13.5","6.7","67.47","-6.34","14.0189320034769","16.6550541062014","16.44","40.27","24090","56.8","24210","85.1","79.7","13.93","3.4","8.75","74010","3.75","69870","13.54","7.92","41","7.4","28.03","97.4","4.30704672480544","19.71","16010","10.28","1217"
"69","Haut-Rhin","13.7","7.8","66.99","-6.97000000000001","13.2138865041707","16.0402574100193","18.76","43.33","24470","57.1","24720","85.1","79.6","14.97","3.8","9.43","38716","2.96","50172","14.73","9.04","49","7.6","27.43","96.7","3.08676271564592","19.43","9155","12.96","856"
"70","Rhône","14.8","7.1","66.71","-6.25","15.8347235991301","18.8683596472332","16.38","37.24","24480","58.6","24500","86.6","80.8","14.13","3.3","8.54","139891","5.17","179353","20.91","7.55","59","6.9","30.21","99.5","3.67991747451227","22.57","41362","10.53","1614"
"71","Haute-Saône","13.6","6.8","66.94","-5.94","12.5661935395459","14.439301599289","19.19","42.06","21860","47.4","21510","84.7","78.8","15.11","3.4","10.62","10908","1.24","11359","10.54","10.59","41","12.1","19.54","98.7","3.40468811975138","18.22","2050","16.26","295"
"72","Saône-et-Loire","13.3","6.6","67.33","-5.17999999999999","12.7437265322942","15.2024024164671","17.74","41.76","22170","49","21860","85.6","79.2","15.92","2.9","12.82","24280","1.57","42839","16.54","10.16","54","8.2","22.69","99","2.74364314962602","21.22","6290","10.61","752"
"73","Sarthe","13.5","7.7","66.84","-4.04000000000001","12.9911058655725","15.068655436399","17.65","41.3","22230","49.5","21880","85.1","78.8","15.95","3.5","10.87","31635","1.83","39300","15.4","9.11","49","9","22.98","99.8","2.55085466471942","18.69","5363","11.83","704"
"74","Savoie","11.2","6.5","71.47","-4.31","13.85465259125","16.8067465941886","18.52","34.22","24270","57.8","24290","86.4","80.3","12.34","2.4","9.97","22713","2.94","35004","17.04","5.75","53","6.5","28.51","82.3","3.78246904085553","13.28","8191","9.59","456"
"75","Haute-Savoie","9.5","6.5","73.69","-6.39999999999999","14.1185533540922","16.9046478938201","18.18","33.4","28120","58","28930","86.3","81","12.84","3.2","7.92","40478","4.05","50419","13.34","6.59","41","6","33.68","95.4","3.45709145977683","23.79","14648","9.91","720"
